--cc-algorithm (Client),--cc-algorithm (Server),--initial-cwnd-packets (Client),--initial-cwnd-packets (Server),--max-data (Client),--max-data (Server),--max-stream-data (Client),--max-stream-data (Server),--max-stream-window (Client),--max-stream-window (Server),--max-streams-bidi (Client),--max-streams-bidi (Server),--max-streams-uni (Client),--max-streams-uni (Server),--max-window (Client),--max-window (Server),Goodput (kbps),Test Number
bbr2,reno,9,10,11845700,12927308,1572036,1408092,14300065,19104349,99,103,80,113,20860904,21756714,31606.855492762563,2246
bbr2,bbr,9,8,12987753,12813269,885631,1296594,13834207,18604333,98,102,81,109,21277171,22707976,27983.536678526896,2247
bbr2,bbr,9,10,13246807,12531922,1398599,1242595,14102677,17499166,97,103,81,111,21257694,22454251,28387.748264811285,2248
bbr2,bbr,9,10,12055512,13205275,1489187,1272697,14466933,19046375,115,80,80,108,20366917,22018193,28018.18444769466,2249
bbr2,bbr,9,9,12622428,12396585,1523647,1317472,14285504,18467699,92,106,81,109,20966586,22867900,28235.94355509464,2250
bbr2,bbr,9,10,12915410,12697636,1452695,1349687,11943589,18792865,107,101,82,112,20776309,22201567,28192.661432290424,2251
bbr2,bbr,9,10,13132767,13068997,1416764,1375302,13854058,18092135,89,113,80,114,21263646,22374828,28540.087104238275,2252
bbr2,bbr2,9,10,11923939,12921864,1399551,1286824,12643756,18469452,108,102,81,110,20535417,21761311,33360.726278933995,2253
bbr2,bbr,9,10,12523029,12587070,1433247,1230351,14073369,17701536,112,104,82,112,20980736,22652694,28284.841563430095,2254
bbr2,bbr,9,8,12755006,10956266,1469459,1265827,13661979,18972811,114,101,80,101,21098070,22435099,28101.616764340735,2255
bbr2,bbr,9,10,12979595,12412274,1446027,1306222,14511326,18759763,113,103,81,108,21312215,21955135,28398.232991493674,2256
bbr2,bbr,9,12,13235819,12814723,1502265,1243724,17910295,18615387,116,102,82,115,20681569,23019461,27876.390395372084,2257
bbr2,bbr,9,10,10836128,13222590,1391431,1372746,12267604,19099951,99,101,80,108,21216176,22132239,33487.871506593496,2258
bbr2,bbr,9,9,12061232,13044045,1416520,1340286,14339798,18023572,115,103,81,111,20868006,22272377,30983.99940902711,2259
bbr2,bbr,9,10,12883309,13966512,1435910,1275249,13389779,18339354,113,105,80,110,20320523,21801731,29127.89999173589,2260
reno,bbr,9,12,13117665,14220383,1540856,1609484,14187579,18958595,116,108,81,100,21317511,22564581,27966.100395290912,2261
bbr2,bbr,9,10,11710657,12665685,1471416,1325346,13954411,18695644,95,87,107,109,20979091,22215155,32193.23753072585,2262
bbr2,bbr,9,10,12715858,12549128,1385493,1320662,14528400,18285342,100,102,82,110,20144775,21951000,27921.34526661321,2263
bbr2,bbr,9,9,13084874,12883498,1707847,1221843,13720093,18467769,114,117,80,115,20528919,22446491,27676.12308977493,2264
bbr2,reno,9,8,11542704,12738518,1596854,1391225,14218818,18882242,100,87,104,112,21107136,22698651,31852.90099356533,2265
bbr2,bbr,9,12,13251505,12452065,1408031,1269932,14445990,19153423,117,104,81,109,20762609,21701100,35564.49455484645,2266
bbr2,bbr,9,10,12088457,13002533,1510891,1347822,14008756,18163595,105,119,82,111,21337520,22102338,27885.870354727904,2267
bbr2,bbr,9,10,11853155,13297864,1903015,1253282,12757730,18643331,115,100,80,114,21133968,22341790,28458.87112505831,2268
bbr2,bbr,9,12,12901948,12619437,1453948,1293035,13581424,18882734,99,101,80,108,21314352,22978219,34089.971821324274,2269
